id,name,age,gender,university,faculty,year,rent_total,expected_rent,district,latitude,longitude,has_pets,smoker,max_commute_min
S0001,Antonio Herrera,19,M,UNI,Psicología,5,1282,641,San Miguel,-12.065716,-77.089938,True,True,29
S0002,María Rojas,21,F,UTP,Diseño,3,1047,524,Surco,-12.158905,-76.985917,False,True,46
S0003,Ricardo Sánchez,19,M,UAP,Arte,2,880,440,San Miguel,-12.05901,-77.081629,False,False,46
S0004,Pablo Molina,20,M,UPC,Derecho,1,1072,536,Magdalena,-12.081084,-77.072705,False,False,54
S0005,Diana Huamán,25,F,UCS,Arte,4,813,406,Los Olivos,-11.979111,-77.064226,False,False,41
S0006,Tatiana Villegas,20,F,UCS,Economía,4,1203,602,Miraflores,-12.115001,-77.033003,False,True,44
S0007,Miranda Zamora,25,F,UTP,Medicina,4,1171,586,Miraflores,-12.125232,-77.035054,True,False,25
S0008,Claudia Romero,20,F,USIL,Medicina,3,1445,722,Miraflores,-12.130031,-77.027981,True,False,23
S0009,Gabriel Huamán,22,M,UL,Administración,3,1587,794,Comas,-11.996729,-77.062811,True,False,35
S0010,Gustavo Fernández,21,M,UNMSM,Medicina,1,820,410,Surco,-12.15868,-76.991028,False,True,47
S0011,Sheltty Herrera,22,F,UTP,Administración,1,1186,593,San Isidro,-12.08875,-77.028802,True,True,57
S0012,Manuel Díaz,22,M,USIL,Ciencias,1,1244,622,San Miguel,-12.056698,-77.095575,True,False,47
S0013,Miguel Zamora,20,M,UNMSM,Informática,5,1346,673,San Miguel,-12.058245,-77.086102,False,True,27
S0014,Héctor Reyes,19,M,USIL,Administración,5,1194,597,La Molina,-12.061272,-76.931981,True,False,39
S0015,Valeria León,19,F,PUCP,Medicina,3,1294,647,Surco,-12.151252,-76.991107,True,False,45
S0016,Ana Gutiérrez,20,F,UAP,Administración,4,1166,583,San Isidro,-12.089557,-77.02769,True,False,31
S0017,Carmen Rojas,19,F,UNMSM,Ingeniería,2,1429,714,San Isidro,-12.103112,-77.034099,False,True,25
S0018,Tania Luna,21,F,UPC,Informática,1,1456,728,San Miguel,-12.064114,-77.083308,False,True,24
S0019,Sheltty Carrasco,22,F,UCS,Arquitectura,2,1260,630,Los Olivos,-11.975282,-77.078695,True,True,47
S0020,Patricia Morales,19,F,UCS,Ciencias,1,1404,702,San Isidro,-12.091481,-77.04138,False,True,37
S0021,Alberto Delgado,19,M,UNMSM,Ciencias,1,1106,553,La Molina,-12.073404,-76.918793,False,False,22
S0022,Patricia Mejía,19,F,UCS,Derecho,1,1254,627,San Isidro,-12.098461,-77.04461,True,True,41
S0023,Nicolás Campos,23,M,UNI,Ingeniería,2,1335,668,San Miguel,-12.054072,-77.095863,False,True,23
S0024,Nicolás Vargas,24,M,UTP,Derecho,4,1478,739,San Miguel,-12.062078,-77.07919,True,True,28
S0025,Eduardo Lozano,25,M,UTP,Ciencias,3,1178,589,Magdalena,-12.084013,-77.075033,True,False,34
S0026,Alberto Fernández,21,M,UTP,Diseño,3,1496,748,San Miguel,-12.063015,-77.079158,True,False,44
S0027,Pedro Ramírez,22,M,PUCP,Arte,1,997,498,La Molina,-12.056558,-76.92803,False,True,59
S0028,Renato Campos,24,M,USIL,Informática,5,1023,512,San Isidro,-12.101116,-77.030721,True,True,24
S0029,Antonio García,25,M,UAP,Medicina,1,1511,756,Los Olivos,-11.971548,-77.062772,True,False,55
S0030,Adriana Rojas,21,F,PUCP,Arquitectura,2,1001,500,San Isidro,-12.101427,-77.031728,False,True,20
S0031,Sheltty Peña,22,F,UTP,Arquitectura,2,1585,792,Magdalena,-12.08911,-77.067193,False,True,23
S0032,Isabel Suárez,18,F,UPC,Ingeniería,4,865,432,Surco,-12.148359,-76.981752,False,True,60
S0033,Rafael Ruiz,25,M,UL,Informática,1,1265,632,Los Olivos,-11.968659,-77.060065,False,False,41
S0034,Rosa Silva,21,F,UCS,Informática,1,1484,742,San Isidro,-12.086957,-77.04283,True,False,42
S0035,Esteban Quispe,24,M,UNMSM,Economía,2,855,428,La Molina,-12.07256,-76.93269,False,True,38
S0036,Natalia Flores,20,F,UCS,Medicina,5,1310,655,Comas,-11.998561,-77.067196,True,True,37
S0037,Tania Aguilar,19,F,UNMSM,Diseño,1,837,418,San Isidro,-12.098495,-77.04051,True,True,53
S0038,Marisol Lozano,20,F,UL,Economía,1,1477,738,Magdalena,-12.090268,-77.06345,False,True,21
S0039,Luz Vargas,24,F,UTP,Arquitectura,2,943,472,La Molina,-12.070986,-76.929542,True,True,29
S0040,Rodrigo Huamán,19,M,UAP,Arquitectura,1,948,474,San Isidro,-12.096173,-77.039035,False,True,37
S0041,Marisol Díaz,25,F,UCS,Psicología,2,1024,512,San Miguel,-12.049924,-77.093518,False,True,52
S0042,Araceli Salazar,22,F,UTP,Informática,1,851,426,La Molina,-12.071363,-76.934244,False,True,54
S0043,Manuel Zamora,18,M,UNI,Ciencias,4,1399,700,San Isidro,-12.10273,-77.036362,True,True,36
S0044,Héctor Montoya,23,M,UTP,Derecho,4,1449,724,Miraflores,-12.119763,-77.022314,True,True,32
S0045,Jorge Aguilar,21,M,PUCP,Diseño,5,1105,552,San Isidro,-12.092573,-77.038712,False,True,41
S0046,Carla Vargas,18,F,UNMSM,Medicina,1,1420,710,San Isidro,-12.08992,-77.034846,True,True,46
S0047,Valeria Molina,21,F,UCS,Derecho,4,1255,628,San Miguel,-12.059879,-77.092816,False,True,44
S0048,Pablo García,24,M,USIL,Derecho,3,904,452,San Isidro,-12.102662,-77.044477,True,True,34
S0049,Víctor Peña,24,M,UNI,Administración,1,1497,748,La Molina,-12.068408,-76.923529,False,True,49
S0050,Sheltty Ortega,24,F,UAP,Psicología,4,1200,600,Surco,-12.153135,-76.986208,True,False,41
S0051,Pedro Peña,18,M,UPC,Arte,1,1350,675,Miraflores,-12.114047,-77.03087,False,False,37
S0052,Pablo Gómez,21,M,PUCP,Arte,1,1449,724,La Molina,-12.073076,-76.929656,False,False,23
S0053,Ana Díaz,24,F,UAP,Medicina,4,1466,733,La Molina,-12.055352,-76.93218,False,False,57
